date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:10	247/247	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Dec%202012%2009:49:20%20GMT	http://demo.broadleafcommerce.org/robots.txt		(from )
15:06:10	13465/13465	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Dec%202012%2009:49:21%20GMT	http://demo.broadleafcommerce.org/heatclinic/	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/index.html	(from )
15:06:11	843/843	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Aug%202012%2016:21:16%20GMT	http://demo.broadleafcommerce.org/heatclinic/css/jquery.rating.css;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/css/jquery.rating.css	(from )
15:06:11	76184/76184	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Oct%202012%2016:51:04%20GMT	http://demo.broadleafcommerce.org/heatclinic/css/style.css;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/css/style.css	(from )
15:06:11	15274/15274	---M--	200	added ('OK')	text/javascript	date:Tue,%2017%20Jul%202012%2016:50:02%20GMT	http://demo.broadleafcommerce.org/heatclinic/js/libs/modernizr-2.5.3.min.js;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/js/libs/modernizr-2.5.3.min.js;jsessionid=B44F635F1F625642A615B130B7E887D9	(from )
15:06:11	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Mon,%2017%20Dec%202012%2009:49:22%20GMT	http://demo.broadleafcommerce.org/heatclinic/login;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/login;jsessionid=B44F635F1F625642A615B130B7E887D9.3.delayed	(from )
15:06:33	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Mon,%2017%20Dec%202012%2009:49:44%20GMT	http://demo.broadleafcommerce.org/heatclinic/register;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/register;jsessionid=B44F635F1F625642A615B130B7E887D9.5.delayed	(from )
15:06:54	5449/5449	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Dec%202012%2009:50:05%20GMT	http://demo.broadleafcommerce.org/heatclinic/cart;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/cart;jsessionid=B44F635F1F625642A615B130B7E887D9.html	(from )
15:06:55	1570/1570	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202012%2016:50:02%20GMT	http://demo.broadleafcommerce.org/heatclinic/img/shopping_cart.png;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/img/shopping_cart.png	(from )
15:06:55	11441/11441	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Dec%202012%2009:50:05%20GMT	http://demo.broadleafcommerce.org/heatclinic/;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/;jsessionid=B44F635F1F625642A615B130B7E887D9.html	(from )
15:06:56	54105/54105	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Dec%202012%2009:50:06%20GMT	http://demo.broadleafcommerce.org/heatclinic/hot-sauces;jsessionid=B44F635F1F625642A615B130B7E887D9	D:/WebSites/HotClinic/demo.broadleafcommerce.org/heatclinic/hot-sauces;jsessionid=B44F635F1F625642A615B130B7E887D9.html	(from )
